date,CPIAUCSL,CPILFESL
2015-01-01,234.747,239.811
2015-02-01,235.342,240.172
2015-03-01,235.976,240.755
2015-04-01,236.222,241.346
2015-05-01,237.001,241.688
2015-06-01,237.657,242.064
2015-07-01,238.034,242.565
2015-08-01,238.033,242.817
2015-09-01,237.498,243.316
2015-10-01,237.733,243.768
2015-11-01,238.017,244.241
2015-12-01,237.761,244.547
2016-01-01,237.652,244.955
2016-02-01,237.336,245.51
2016-03-01,238.08,245.913
2016-04-01,238.992,246.551
2016-05-01,239.557,247.137
2016-06-01,240.222,247.54
2016-07-01,240.101,247.829
2016-08-01,240.545,248.423
2016-09-01,241.176,248.842
2016-10-01,241.741,249.142
2016-11-01,242.026,249.481
2016-12-01,242.637,249.92
2017-01-01,243.618,250.467
2017-02-01,244.006,250.998
2017-03-01,243.892,250.944
2017-04-01,244.193,251.227
2017-05-01,244.004,251.43
2017-06-01,244.163,251.746
2017-07-01,244.243,251.985
2017-08-01,245.183,252.535
2017-09-01,246.435,252.812
2017-10-01,246.626,253.526
2017-11-01,247.284,253.816
2017-12-01,247.805,254.344
2018-01-01,248.859,255.204
2018-02-01,249.529,255.711
2018-03-01,249.577,256.271
2018-04-01,250.227,256.63
2018-05-01,250.792,257.145
2018-06-01,251.018,257.399
2018-07-01,251.214,257.699
2018-08-01,251.663,257.891
2018-09-01,252.182,258.368
2018-10-01,252.772,258.917
2018-11-01,252.594,259.439
2018-12-01,252.767,260.063
2019-01-01,252.561,260.766
2019-02-01,253.319,261.186
2019-03-01,254.277,261.567
2019-04-01,255.233,261.997
2019-05-01,255.296,262.217
2019-06-01,255.213,262.739
2019-07-01,255.802,263.28
2019-08-01,256.036,263.877
2019-09-01,256.43,264.388
2019-10-01,257.155,264.97
2019-11-01,257.879,265.548
2019-12-01,258.63,266.02
2020-01-01,259.127,266.716
2020-02-01,259.25,267.37
2020-03-01,258.076,267.054
2020-04-01,256.032,265.746
2020-05-01,255.802,265.412
2020-06-01,257.042,265.849
2020-07-01,258.352,267.389
2020-08-01,259.316,268.422
2020-09-01,259.997,268.933
2020-10-01,260.319,269.306
2020-11-01,260.911,269.981
2020-12-01,262.045,270.341
2021-01-01,262.687,270.387
2021-02-01,263.579,270.793
2021-03-01,264.961,271.459
2021-04-01,266.614,273.66
2021-05-01,268.383,275.465
2021-06-01,270.654,277.651
2021-07-01,271.903,278.648
2021-08-01,272.676,278.997
2021-09-01,273.91,279.698
2021-10-01,276.55,281.668
2021-11-01,278.919,283.406
2021-12-01,280.845,285.18
2022-01-01,282.543,286.757
2022-02-01,284.5,288.273
2022-03-01,287.674,289.056
2022-04-01,288.561,290.514
2022-05-01,291.298,292.063
2022-06-01,294.957,294.05
2022-07-01,294.913,295.088
2022-08-01,295.097,296.535
2022-09-01,296.349,298.226
2022-10-01,298.007,299.399
2022-11-01,298.786,300.325
2022-12-01,298.832,301.394
2023-01-01,300.42,302.642
2023-02-01,301.45,304.123
2023-03-01,301.821,305.147
2023-04-01,302.845,306.534
2023-05-01,303.334,307.652
2023-06-01,304.014,308.322
2023-07-01,304.609,308.96
2023-08-01,306.082,309.58
2023-09-01,307.276,310.539
2023-10-01,307.696,311.457
2023-11-01,308.148,312.392
2023-12-01,308.741,313.195
2024-01-01,309.698,314.319
2024-02-01,310.967,315.564
2024-03-01,312.345,316.792
2024-04-01,313.023,317.649
2024-05-01,313.175,318.095
2024-06-01,313.044,318.39
2024-07-01,313.569,318.94
2024-08-01,314.062,319.75
2024-09-01,314.732,320.732
2024-10-01,315.631,321.731
2024-11-01,316.528,322.657
2024-12-01,317.604,323.259
2025-01-01,318.961,324.638
2025-02-01,319.679,325.465
2025-03-01,319.785,325.69
2025-04-01,320.302,326.467
2025-05-01,320.62,326.893
2025-06-01,321.435,327.658
2025-07-01,322.169,328.682
2025-08-01,323.291,329.7
2025-09-01,324.245,330.418
2025-10-01,,
2025-11-01,325.063,331.043
2025-12-01,326.031,331.814
2026-01-01,326.588,332.793
2026-02-01,327.46,333.512
2026-03-01,330.293,334.165
2026-04-01,332.407,335.423
2026-05-01,333.979,336.121
2026-06-01,332.568,336.065
2026-07-01,332.813,336.789
2026-08-01,334.131,337.765
