date,DFII5,DFII10,DFII30
2015-01-02,0.31,0.41,0.76
2015-01-05,0.32,0.4,0.71
2015-01-06,0.34,0.41,0.68
2015-01-07,0.31,0.39,0.68
2015-01-08,0.29,0.41,0.73
2015-01-09,0.25,0.36,0.72
2015-01-12,0.23,0.35,0.69
2015-01-13,0.32,0.37,0.73
2015-01-14,0.15,0.29,0.69
2015-01-15,0.04,0.19,0.61
2015-01-16,0.1,0.23,0.66
2015-01-19,,,
2015-01-20,0.12,0.23,0.63
2015-01-21,0.18,0.26,0.71
2015-01-22,0.2,0.29,0.69
2015-01-23,0.12,0.21,0.61
2015-01-26,0.12,0.22,0.64
2015-01-27,0.05,0.17,0.64
2015-01-28,0.01,0.12,0.56
2015-01-29,-0.03,0.15,0.59
2015-01-30,-0.11,0.03,0.52
2015-02-02,-0.13,0.03,0.54
2015-02-03,-0.12,0.09,0.62
2015-02-04,-0.06,0.1,0.6
2015-02-05,-0.08,0.13,0.64
2015-02-06,0.12,0.24,0.68
2015-02-09,0.13,0.25,0.67
2015-02-10,0.2,0.31,0.74
2015-02-11,0.21,0.32,0.75
2015-02-12,0.13,0.33,0.78
2015-02-13,0.21,0.34,0.81
2015-02-16,,,
2015-02-17,0.29,0.43,0.87
2015-02-18,0.2,0.36,0.82
2015-02-19,0.23,0.37,0.84
2015-02-20,0.24,0.38,0.83
2015-02-23,0.22,0.34,0.79
2015-02-24,0.14,0.27,0.73
2015-02-25,0.11,0.24,0.7
2015-02-26,0.05,0.24,0.72
2015-02-27,0.01,0.17,0.68
2015-03-02,0.03,0.25,0.75
2015-03-03,0.04,0.26,0.75
2015-03-04,-0.01,0.25,0.74
2015-03-05,0.04,0.27,0.74
2015-03-06,0.15,0.41,0.86
2015-03-09,0.19,0.44,0.88
2015-03-10,0.26,0.41,0.85
2015-03-11,0.15,0.39,0.83
2015-03-12,0.18,0.39,0.84
2015-03-13,0.2,0.44,0.88
2015-03-16,0.3,0.45,0.87
2015-03-17,0.22,0.42,0.81
2015-03-18,0.08,0.23,0.66
2015-03-19,-0.01,0.19,0.65
2015-03-20,-0.08,0.17,0.61
2015-03-23,-0.07,0.17,0.62
2015-03-24,-0.16,0.11,0.55
2015-03-25,-0.15,0.12,0.57
2015-03-26,-0.1,0.21,0.67
2015-03-27,-0.12,0.19,0.64
2015-03-30,-0.08,0.23,0.69
2015-03-31,-0.14,0.18,0.69
2015-04-01,-0.26,0.07,0.6
2015-04-02,-0.21,0.11,0.64
2015-04-03,-0.32,0.02,0.58
2015-04-06,-0.29,0.07,0.66
2015-04-07,-0.28,0.04,0.6
2015-04-08,-0.23,0.08,0.63
2015-04-09,-0.19,0.13,0.68
2015-04-10,-0.15,0.14,0.67
2015-04-13,-0.17,0.14,0.68
2015-04-14,-0.21,0.1,0.65
2015-04-15,-0.26,0.07,0.64
2015-04-16,-0.27,0.05,0.63
2015-04-17,-0.34,-0.02,0.54
2015-04-20,-0.27,0.01,0.59
2015-04-21,-0.24,0.06,0.63
2015-04-22,-0.19,0.12,0.7
2015-04-23,-0.33,0.07,0.66
2015-04-24,-0.37,0.04,0.64
2015-04-27,-0.35,0.03,0.63
2015-04-28,-0.3,0.11,0.71
2015-04-29,-0.27,0.14,0.76
2015-04-30,-0.29,0.11,0.72
2015-05-01,-0.22,0.18,0.78
2015-05-04,-0.18,0.24,0.86
2015-05-05,-0.18,0.25,0.86
2015-05-06,-0.11,0.34,0.95
2015-05-07,-0.11,0.3,0.88
2015-05-08,-0.16,0.28,0.89
2015-05-11,-0.05,0.4,1.0
2015-05-12,-0.07,0.4,0.99
2015-05-13,-0.1,0.41,1.04
2015-05-14,-0.14,0.36,1.03
2015-05-15,-0.16,0.31,0.94
2015-05-18,-0.1,0.37,1.02
2015-05-19,-0.02,0.42,1.06
2015-05-20,-0.08,0.38,1.06
2015-05-21,-0.1,0.35,1.01
2015-05-22,-0.08,0.34,1.0
2015-05-25,,,
2015-05-26,-0.05,0.32,0.94
2015-05-27,-0.01,0.34,0.95
2015-05-28,-0.02,0.33,0.98
2015-05-29,-0.08,0.32,0.95
2015-06-01,0.0,0.39,1.02
2015-06-02,0.02,0.44,1.08
2015-06-03,0.1,0.55,1.16
2015-06-04,0.06,0.5,1.09
2015-06-05,0.11,0.55,1.14
2015-06-08,0.09,0.54,1.14
2015-06-09,0.09,0.56,1.18
2015-06-10,0.14,0.63,1.25
2015-06-11,0.11,0.56,1.17
2015-06-12,0.11,0.55,1.16
2015-06-15,0.07,0.51,1.12
2015-06-16,0.01,0.44,1.05
2015-06-17,-0.06,0.42,1.09
2015-06-18,-0.02,0.46,1.14
2015-06-19,-0.04,0.4,1.07
2015-06-22,0.03,0.47,1.14
2015-06-23,0.04,0.5,1.17
2015-06-24,0.05,0.48,1.13
2015-06-25,0.07,0.49,1.13
2015-06-26,0.09,0.57,1.21
2015-06-29,0.03,0.46,1.1
2015-06-30,0.02,0.48,1.11
2015-07-01,0.1,0.54,1.18
2015-07-02,0.02,0.49,1.16
2015-07-03,,,
2015-07-06,-0.01,0.43,1.07
2015-07-07,-0.02,0.4,1.04
2015-07-08,-0.04,0.39,1.02
2015-07-09,0.02,0.47,1.13
2015-07-10,0.1,0.55,1.19
2015-07-13,0.15,0.58,1.21
2015-07-14,0.12,0.56,1.2
2015-07-15,0.1,0.52,1.15
2015-07-16,0.14,0.52,1.13
2015-07-17,0.17,0.51,1.12
2015-07-20,0.23,0.56,1.14
2015-07-21,0.2,0.53,1.12
2015-07-22,0.21,0.53,1.1
2015-07-23,0.2,0.49,1.06
2015-07-24,0.24,0.51,1.07
2015-07-27,0.23,0.5,1.05
2015-07-28,0.23,0.51,1.07
2015-07-29,0.22,0.52,1.08
2015-07-30,0.22,0.51,1.06
2015-07-31,0.18,0.46,1.04
2015-08-03,0.21,0.46,1.02
2015-08-04,0.29,0.52,1.06
2015-08-05,0.34,0.58,1.11
2015-08-06,0.31,0.56,1.08
2015-08-07,0.31,0.52,1.02
2015-08-10,0.32,0.55,1.07
2015-08-11,0.26,0.49,1.01
2015-08-12,0.25,0.52,1.06
2015-08-13,0.34,0.57,1.07
2015-08-14,0.36,0.58,1.05
2015-08-17,0.36,0.58,1.05
2015-08-18,0.39,0.62,1.1
2015-08-19,0.33,0.55,1.06
2015-08-20,0.33,0.53,1.02
2015-08-21,0.31,0.52,1.04
2015-08-24,0.28,0.52,1.07
2015-08-25,0.33,0.59,1.14
2015-08-26,0.36,0.65,1.22
2015-08-27,0.29,0.6,1.15
2015-08-28,0.3,0.58,1.12
2015-08-31,0.28,0.58,1.15
2015-09-01,0.31,0.6,1.17
2015-09-02,0.33,0.64,1.22
2015-09-03,0.33,0.64,1.22
2015-09-04,0.33,0.62,1.18
2015-09-07,,,
2015-09-08,0.38,0.67,1.25
2015-09-09,0.38,0.65,1.21
2015-09-10,0.34,0.64,1.21
2015-09-11,0.31,0.61,1.18
2015-09-14,0.32,0.62,1.19
2015-09-15,0.41,0.72,1.29
2015-09-16,0.41,0.73,1.32
2015-09-17,0.26,0.63,1.26
2015-09-18,0.26,0.58,1.19
2015-09-21,0.32,0.66,1.3
2015-09-22,0.29,0.63,1.26
2015-09-23,0.31,0.64,1.26
2015-09-24,0.33,0.64,1.24
2015-09-25,0.37,0.71,1.32
2015-09-28,0.4,0.71,1.28
2015-09-29,0.34,0.66,1.27
2015-09-30,0.3,0.65,1.29
2015-10-01,0.24,0.59,1.23
2015-10-02,0.14,0.51,1.18
2015-10-05,0.17,0.56,1.23
2015-10-06,0.12,0.53,1.2
2015-10-07,0.15,0.53,1.19
2015-10-08,0.14,0.54,1.23
2015-10-09,0.19,0.58,1.24
2015-10-12,,,
2015-10-13,0.18,0.54,1.22
2015-10-14,0.14,0.5,1.19
2015-10-15,0.16,0.54,1.22
2015-10-16,0.18,0.56,1.24
2015-10-19,0.22,0.59,1.27
2015-10-20,0.24,0.6,1.26
2015-10-21,0.24,0.59,1.24
2015-10-22,0.22,0.57,1.21
2015-10-23,0.24,0.58,1.19
2015-10-26,0.25,0.59,1.19
2015-10-27,0.23,0.57,1.18
2015-10-28,0.33,0.63,1.2
2015-10-29,0.34,0.67,1.24
2015-10-30,0.32,0.63,1.19
2015-11-02,0.34,0.65,1.2
2015-11-03,0.32,0.65,1.24
2015-11-04,0.38,0.68,1.24
2015-11-05,0.42,0.71,1.27
2015-11-06,0.48,0.75,1.31
2015-11-09,0.47,0.76,1.32
2015-11-10,0.47,0.77,1.32
2015-11-11,,,
2015-11-12,0.49,0.78,1.32
2015-11-13,0.46,0.76,1.31
2015-11-16,0.46,0.76,1.33
2015-11-17,0.43,0.72,1.28
2015-11-18,0.44,0.71,1.27
2015-11-19,0.41,0.68,1.23
2015-11-20,0.39,0.66,1.21
2015-11-23,0.37,0.64,1.2
2015-11-24,0.33,0.62,1.2
2015-11-25,0.35,0.62,1.2
2015-11-26,,,
2015-11-27,0.33,0.62,1.2
2015-11-30,0.35,0.62,1.19
2015-12-01,0.3,0.58,1.14
